registry_id	entry_id	entry_protocol_id
minecraft:activity	minecraft:admire_item	12
minecraft:activity	minecraft:avoid	13
minecraft:activity	minecraft:celebrate	11
minecraft:activity	minecraft:core	0
minecraft:activity	minecraft:dig	25
minecraft:activity	minecraft:emerge	24
minecraft:activity	minecraft:fight	10
minecraft:activity	minecraft:hide	9
minecraft:activity	minecraft:idle	1
minecraft:activity	minecraft:investigate	22
minecraft:activity	minecraft:lay_spawn	20
minecraft:activity	minecraft:long_jump	16
minecraft:activity	minecraft:meet	5
minecraft:activity	minecraft:panic	6
minecraft:activity	minecraft:play	3
minecraft:activity	minecraft:play_dead	15
minecraft:activity	minecraft:pre_raid	8
minecraft:activity	minecraft:raid	7
minecraft:activity	minecraft:ram	17
minecraft:activity	minecraft:rest	4
minecraft:activity	minecraft:ride	14
minecraft:activity	minecraft:roar	23
minecraft:activity	minecraft:sniff	21
minecraft:activity	minecraft:swim	19
minecraft:activity	minecraft:tongue	18
minecraft:activity	minecraft:work	2
minecraft:attribute	minecraft:armor	0
minecraft:attribute	minecraft:armor_toughness	1
minecraft:attribute	minecraft:attack_damage	2
minecraft:attribute	minecraft:attack_knockback	3
minecraft:attribute	minecraft:attack_speed	4
minecraft:attribute	minecraft:block_break_speed	5
minecraft:attribute	minecraft:block_interaction_range	6
minecraft:attribute	minecraft:burning_time	7
minecraft:attribute	minecraft:entity_interaction_range	9
minecraft:attribute	minecraft:explosion_knockback_resistance	8
minecraft:attribute	minecraft:fall_damage_multiplier	10
minecraft:attribute	minecraft:flying_speed	11
minecraft:attribute	minecraft:follow_range	12
minecraft:attribute	minecraft:gravity	13
minecraft:attribute	minecraft:jump_strength	14
minecraft:attribute	minecraft:knockback_resistance	15
minecraft:attribute	minecraft:luck	16
minecraft:attribute	minecraft:max_absorption	17
minecraft:attribute	minecraft:max_health	18
minecraft:attribute	minecraft:mining_efficiency	19
minecraft:attribute	minecraft:movement_efficiency	20
minecraft:attribute	minecraft:movement_speed	21
minecraft:attribute	minecraft:oxygen_bonus	22
minecraft:attribute	minecraft:safe_fall_distance	23
minecraft:attribute	minecraft:scale	24
minecraft:attribute	minecraft:sneaking_speed	25
minecraft:attribute	minecraft:spawn_reinforcements	26
minecraft:attribute	minecraft:step_height	27
minecraft:attribute	minecraft:submerged_mining_speed	28
minecraft:attribute	minecraft:sweeping_damage_ratio	29
minecraft:attribute	minecraft:tempt_range	30
minecraft:attribute	minecraft:water_movement_efficiency	31
minecraft:block	minecraft:acacia_button	404
minecraft:block	minecraft:acacia_door	606
minecraft:block	minecraft:acacia_fence	597
minecraft:block	minecraft:acacia_fence_gate	588
minecraft:block	minecraft:acacia_hanging_sign	221
minecraft:block	minecraft:acacia_leaves	92
minecraft:block	minecraft:acacia_log	53
minecraft:block	minecraft:acacia_planks	17
minecraft:block	minecraft:acacia_pressure_plate	249
minecraft:block	minecraft:acacia_sapling	29
minecraft:block	minecraft:acacia_sign	197
